"filePath","line","column","ruleId","severity","message","source"
"C:\Apartment-Locator-AI-Real-main\src\components\GuestCheckoutModal.tsx","156","19","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\components\Header.tsx","3","77","@typescript-eslint/no-unused-vars","1","'X' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\LocationIntelligence\SmartResults.tsx","4","10","@typescript-eslint/no-unused-vars","1","'Button' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\LocationIntelligence\SmartResults.tsx","6","16","@typescript-eslint/no-unused-vars","1","'CardContent' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\LocationIntelligence\SmartResults.tsx","25","3","@typescript-eslint/no-unused-vars","1","'getCombinedScore' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\LocationIntelligence\SmartResults.tsx","26","3","@typescript-eslint/no-unused-vars","1","'onPropertySelect' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\LocationIntelligence\SmartResults.tsx","27","3","@typescript-eslint/no-unused-vars","1","'selectedPropertyId' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\LocationIntelligence\SmartResults.tsx","32","10","@typescript-eslint/no-unused-vars","1","'hoveredProperty' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\LocationIntelligence\SmartResults.tsx","32","27","@typescript-eslint/no-unused-vars","1","'setHoveredProperty' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\LocationIntelligence\SmartResults.tsx","63","9","@typescript-eslint/no-unused-vars","1","'getScoreColor' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\LocationIntelligence\SmartResults.tsx","70","9","@typescript-eslint/no-unused-vars","1","'getScoreBg' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\LocationIntelligence\SmartResults.tsx","79","9","@typescript-eslint/no-unused-vars","1","'getPreferencesCount' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\MarketIntelligence.tsx","2","22","@typescript-eslint/no-unused-vars","1","'TrendingDown' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\PricingBreakdown.tsx","19","3","@typescript-eslint/no-unused-vars","1","'monthlySavings' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\QuickActions.tsx","25","89","@typescript-eslint/no-unused-vars","1","'onSettingsChange' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","1","27","@typescript-eslint/no-unused-vars","1","'useEffect' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","15","3","@typescript-eslint/no-unused-vars","1","'X' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","25","3","@typescript-eslint/no-unused-vars","1","'Calendar' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","28","3","@typescript-eslint/no-unused-vars","1","'TrendingDown' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","35","3","@typescript-eslint/no-unused-vars","1","'RentVsBuyResult' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","65","28","@typescript-eslint/no-unused-vars","1","'setPropertyScenario' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","77","28","@typescript-eslint/no-unused-vars","1","'setMarketConditions' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","87","10","@typescript-eslint/no-unused-vars","1","'selectedDownPayment' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","87","31","@typescript-eslint/no-unused-vars","1","'setSelectedDownPayment' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","88","10","@typescript-eslint/no-unused-vars","1","'showAdvanced' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","88","24","@typescript-eslint/no-unused-vars","1","'setShowAdvanced' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalysis.tsx","604","62","@typescript-eslint/no-unused-vars","1","'index' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalyzer.tsx","5","10","@typescript-eslint/no-unused-vars","1","'Badge' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\RentVsBuyAnalyzer.tsx","13","3","@typescript-eslint/no-unused-vars","1","'X' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\TestIntegration.tsx","1","27","@typescript-eslint/no-unused-vars","1","'useEffect' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\TestIntegration.tsx","15","15","@typescript-eslint/no-unused-vars","1","'data' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\design\ModernDashboard.tsx","10","36","@typescript-eslint/no-unused-vars","1","'createHeading' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\design\ModernDashboard.tsx","30","3","@typescript-eslint/no-unused-vars","1","'userRole' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\design\ModernDashboard.tsx","34","25","@typescript-eslint/no-unused-vars","1","'setNotifications' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\design\ModernDashboard.tsx","37","19","@typescript-eslint/no-unused-vars","1","'setMetrics' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\design\ModernDashboard.tsx","94","9","@typescript-eslint/no-unused-vars","1","'getMetricChange' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\mobile\MobilePropertySheet.tsx","1","17","@typescript-eslint/no-unused-vars","1","'useState' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\CompactPropertyCard.tsx","1","17","@typescript-eslint/no-unused-vars","1","'useState' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\CompactPropertyCard.tsx","3","41","@typescript-eslint/no-unused-vars","1","'Clock' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\CompactPropertyCard.tsx","3","48","@typescript-eslint/no-unused-vars","1","'Check' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\CompactPropertyCard.tsx","3","55","@typescript-eslint/no-unused-vars","1","'TrendingUp' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\CompactPropertyCard.tsx","3","67","@typescript-eslint/no-unused-vars","1","'AlertTriangle' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\CompactPropertyCard.tsx","3","82","@typescript-eslint/no-unused-vars","1","'Target' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\CompactPropertyCard.tsx","3","102","@typescript-eslint/no-unused-vars","1","'Calendar' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\CompactPropertyCard.tsx","5","10","@typescript-eslint/no-unused-vars","1","'Badge' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\ModernApartmentCard.tsx","2","102","@typescript-eslint/no-unused-vars","1","'Calendar' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\ModernApartmentCard.tsx","6","10","@typescript-eslint/no-unused-vars","1","'Progress' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\ModernApartmentCard.tsx","78","9","@typescript-eslint/no-unused-vars","1","'getScoreTextColor' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\modern\ModernApartmentCard.tsx","93","9","@typescript-eslint/no-unused-vars","1","'getLossColor' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\pricing\AdvancedPricingDashboard.tsx","8","15","@typescript-eslint/no-unused-vars","1","'PricingRecommendation' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\renter\RenterDashboard.tsx","27","5","@typescript-eslint/no-unused-vars","1","'greatDeals' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\renter\RenterDashboard.tsx","29","5","@typescript-eslint/no-unused-vars","1","'getTotalPotentialSavings' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\renter\RenterDashboard.tsx","30","5","@typescript-eslint/no-unused-vars","1","'getAverageDealScore' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\renter\RenterUnitCard.tsx","5","3","@typescript-eslint/no-unused-vars","1","'TrendingDown' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\ApartmentDetailModal.tsx","6","38","@typescript-eslint/no-unused-vars","1","'Square' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\ApartmentDetailModal.tsx","6","58","@typescript-eslint/no-unused-vars","1","'Mail' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\ApartmentListings.tsx","6","55","@typescript-eslint/no-unused-vars","1","'Zap' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\AutoUpgradeModal.tsx","27","3","@typescript-eslint/no-unused-vars","1","'userEmail' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\TeaserDashboard.tsx","3","16","@typescript-eslint/no-unused-vars","1","'TrendingUp' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\TeaserDashboard.tsx","3","35","@typescript-eslint/no-unused-vars","1","'MapPin' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\TeaserDashboard.tsx","167","55","@typescript-eslint/no-unused-vars","1","'index' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\UpgradeModal.tsx","4","13","@typescript-eslint/no-unused-vars","1","'Lock' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\UpgradeModal.tsx","24","9","@typescript-eslint/no-unused-vars","1","'annualSavings' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\UpgradeModal.tsx","27","9","@typescript-eslint/no-unused-vars","1","'handlePayment' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\trial\UpgradeModal.tsx","93","80","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\components\ui\calendar.tsx","55","25","@typescript-eslint/no-unused-vars","1","'_props' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\ui\calendar.tsx","56","26","@typescript-eslint/no-unused-vars","1","'_props' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\ui\chart.tsx","70","7","@typescript-eslint/no-unused-vars","1","'_' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\ui\sidebar.tsx","131","18","@typescript-eslint/no-unused-vars","1","'e' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\ui\sidebar.tsx","143","18","@typescript-eslint/no-unused-vars","1","'e' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\components\ui\sonner.tsx","1","29","@typescript-eslint/no-unused-vars","1","'toast' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\contexts\OnboardingFlowContext.tsx","1","17","@typescript-eslint/no-unused-vars","1","'createContext' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\contexts\OnboardingFlowContext.tsx","1","32","@typescript-eslint/no-unused-vars","1","'useContext' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\contexts\PropertyStateContext.tsx","7","10","@typescript-eslint/no-unused-vars","1","'PropertyStateContextType' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\hooks\use-toast.ts","18","7","@typescript-eslint/no-unused-vars","1","'actionTypes' is assigned a value but only used as a type.",""
"C:\Apartment-Locator-AI-Real-main\src\hooks\useAIScanning.ts","5","22","@typescript-eslint/no-unused-vars","1","'setIsScanning' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\hooks\useDatabase.backup.ts","7","15","@typescript-eslint/no-unused-vars","1","'Json' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\hooks\useDatabase.backup.ts","28","48","@typescript-eslint/no-explicit-any","1","Unexpected any. Specify a different type.",""
"C:\Apartment-Locator-AI-Real-main\src\hooks\useSubscription.ts","148","15","@typescript-eslint/no-unused-vars","1","'session' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\pricing-engine.ts","443","57","@typescript-eslint/no-unused-vars","1","'marketContext' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\pricing-engine.ts","474","56","@typescript-eslint/no-unused-vars","1","'daysOnMarket' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\pricing-engine.ts","486","101","@typescript-eslint/no-unused-vars","1","'currentDom' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\pricing-engine.ts","850","65","@typescript-eslint/no-unused-vars","1","'radius' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\redfin-scraper.ts","339","61","@typescript-eslint/no-unused-vars","1","'radiusMiles' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\redfin-scraper.ts","442","35","@typescript-eslint/no-unused-vars","1","'metrics' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\rent-vs-buy-analysis.ts","206","11","@typescript-eslint/no-unused-vars","1","'recommendedDownPayment' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\rent-vs-buy-analysis.ts","317","7","@typescript-eslint/no-unused-vars","1","'totalPrincipalPaid' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\rent-vs-buy-analysis.ts","318","7","@typescript-eslint/no-unused-vars","1","'totalInterestPaid' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\renter-intelligence.ts","143","60","@typescript-eslint/no-unused-vars","1","'pricingRec' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\unified-rental-intelligence.ts","112","14","@typescript-eslint/no-unused-vars","1","'error' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\unified-rental-intelligence.ts","159","5","@typescript-eslint/no-unused-vars","1","'location' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\lib\unified-rental-intelligence.ts","466","5","@typescript-eslint/no-unused-vars","1","'propertyValue' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","28","44","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","28","101","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","28","292","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","148","230","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","152","19","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","171","25","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","171","65","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","175","154","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","175","207","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","204","78","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\About.tsx","204","193","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\AdvancedPricingDemo.tsx","8","36","@typescript-eslint/no-unused-vars","1","'createHeading' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\AdvancedPricingDemo.tsx","206","28","@typescript-eslint/no-unused-vars","1","'loading' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Auth.tsx","6","10","@typescript-eslint/no-unused-vars","1","'Card' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Auth.tsx","6","16","@typescript-eslint/no-unused-vars","1","'CardContent' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Auth.tsx","6","29","@typescript-eslint/no-unused-vars","1","'CardDescription' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Auth.tsx","6","46","@typescript-eslint/no-unused-vars","1","'CardHeader' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Auth.tsx","6","58","@typescript-eslint/no-unused-vars","1","'CardTitle' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Auth.tsx","65","16","@typescript-eslint/no-unused-vars","1","'err' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Auth.tsx","110","16","@typescript-eslint/no-unused-vars","1","'err' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\AuthModern.tsx","10","22","@typescript-eslint/no-unused-vars","1","'User' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\AuthModern.tsx","73","16","@typescript-eslint/no-unused-vars","1","'err' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\AuthModern.tsx","118","16","@typescript-eslint/no-unused-vars","1","'err' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\AuthModern.tsx","327","27","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Billing.tsx","39","9","@typescript-eslint/no-unused-vars","1","'getStatusColor' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Billing.tsx","207","22","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Dashboard.tsx","2","10","@typescript-eslint/no-unused-vars","1","'Link' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Dashboard.tsx","3","10","@typescript-eslint/no-unused-vars","1","'Button' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Dashboard.tsx","4","10","@typescript-eslint/no-unused-vars","1","'ArrowLeft' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Dashboard.tsx","4","21","@typescript-eslint/no-unused-vars","1","'Zap' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\Dashboard.tsx","6","8","@typescript-eslint/no-unused-vars","1","'ModernPageLayout' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\DataExport.tsx","56","49","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\DataExport.tsx","56","96","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\DataExport.tsx","67","64","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\GenerateOffer.tsx","3","105","@typescript-eslint/no-unused-vars","1","'Target' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\GenerateOffer.tsx","7","10","@typescript-eslint/no-unused-vars","1","'Label' is defined but never used.",""
